timestamp,position_lat,position_long,distance,altitude,speed,cadence,fractional_cadence,heart_rate,key
2020-03-27T22:02:54Z,44.98309344984591,-93.18986442871392,475.96,283.79999999999995,3.471,84,0,116,2020-03-27 22:00:32
2020-03-27T22:02:55Z,44.98308213427663,-93.18990952335298,479.73,283.79999999999995,3.48,84,0,116,2020-03-27 22:00:32
2020-03-27T22:02:56Z,44.983073668554425,-93.18995445035398,483.4,283.79999999999995,3.48,85,0,117,2020-03-27 22:00:32
2020-03-27T22:02:57Z,44.98306226916611,-93.18999543786049,486.87,283.6,3.49,85,0,117,2020-03-27 22:00:32
2020-03-27T22:02:58Z,44.98304894194007,-93.1900377664715,490.52,283.6,3.49,85,0,116,2020-03-27 22:00:32
2020-03-27T22:02:59Z,44.983037961646914,-93.19007514975965,493.71,283.4,3.499,84,0,117,2020-03-27 22:00:32
2020-03-27T22:03:00Z,44.98302857391536,-93.19011521525681,497.04,283.20000000000005,3.499,84,0,117,2020-03-27 22:00:32
2020-03-27T22:03:01Z,44.983019856736064,-93.19019861519337,503.68,283.4,3.499,85,0,117,2020-03-27 22:00:32
2020-03-27T22:03:02Z,44.983019856736064,-93.19019861519337,503.68,283.4,3.499,85,0,117,2020-03-27 22:00:32
2020-03-27T22:03:03Z,44.98301415704191,-93.19024370983243,507.28,283.4,3.49,86,0,118,2020-03-27 22:00:32
2020-03-27T22:03:04Z,44.98300460167229,-93.19029064849019,511.13,283.4,3.49,86,0,118,2020-03-27 22:00:32
2020-03-27T22:03:05Z,44.98299437575042,-93.1903332285583,514.67,283.4,3.49,86,0,118,2020-03-27 22:00:32
2020-03-27T22:03:06Z,44.98298658058047,-93.19037329405546,517.95,283.4,3.499,85,0,117,2020-03-27 22:00:32
2020-03-27T22:03:07Z,44.98297618702054,-93.1904111802578,521.15,283.4,3.499,85,0,117,2020-03-27 22:00:32
2020-03-27T22:03:08Z,44.98296679928899,-93.1904492340982,524.33,283.4,3.49,84,0,118,2020-03-27 22:00:32
2020-03-27T22:03:09Z,44.98295380733907,-93.19048468954861,527.46,283.20000000000005,3.49,84,0,118,2020-03-27 22:00:32
2020-03-27T22:03:10Z,44.98294056393206,-93.19052291102707,530.81,283.20000000000005,3.49,84,0,118,2020-03-27 22:00:32
2020-03-27T22:03:11Z,44.982927571982145,-93.19056004285812,534.06,283,3.48,85,0,118,2020-03-27 22:00:32
2020-03-27T22:03:12Z,44.98291592113674,-93.19060010835528,537.48,283,3.48,85,0,118,2020-03-27 22:00:32
2020-03-27T22:03:13Z,44.982903683558106,-93.19064260460436,541.09,282.79999999999995,3.48,85,0,118,2020-03-27 22:00:32
2020-03-27T22:03:14Z,44.98289228416979,-93.19068510085344,544.67,282.79999999999995,3.471,84,0,119,2020-03-27 22:00:32
2020-03-27T22:03:15Z,44.98288298025727,-93.19072600454092,548.07,282.79999999999995,3.471,84,0,119,2020-03-27 22:00:32
2020-03-27T22:03:16Z,44.98287199996412,-93.19076791405678,551.59,282.79999999999995,3.48,84,0,119,2020-03-27 22:00:32
2020-03-27T22:03:17Z,44.98286286368966,-93.19080647081137,554.79,282.6,3.48,84,0,119,2020-03-27 22:00:32
2020-03-27T22:03:18Z,44.982850290834904,-93.19084502756596,558.14,282.6,3.471,85,0,119,2020-03-27 22:00:32
2020-03-27T22:03:19Z,44.98283604159951,-93.19087905809283,561.25,282.79999999999995,3.471,85,0,118,2020-03-27 22:00:32
2020-03-27T22:03:20Z,44.98283193446696,-93.19091820158064,564.37,282.79999999999995,3.471,84,0,118,2020-03-27 22:00:32
2020-03-27T22:03:21Z,44.98283210210502,-93.1909619551152,567.82,283,3.462,84,0,118,2020-03-27 22:00:32
2020-03-27T22:03:22Z,44.982829838991165,-93.19100763648748,571.43,283.20000000000005,3.462,84,0,118,2020-03-27 22:00:32
2020-03-27T22:03:23Z,44.9828264862299,-93.19105465896428,575.16,283.20000000000005,3.462,85,0,118,2020-03-27 22:00:32
2020-03-27T22:03:24Z,44.9828209541738,-93.19109983742237,578.77,283.4,3.462,86,0,118,2020-03-27 22:00:32
2020-03-27T22:03:25Z,44.98281307518482,-93.1911430042237,582.28,283.6,3.462,86,0,118,2020-03-27 22:00:32
2020-03-27T22:03:26Z,44.98280360363424,-93.19118223153055,585.55,283.79999999999995,3.462,86,0,118,2020-03-27 22:00:32
2020-03-27T22:03:27Z,44.98279723338783,-93.19122330285609,588.87,284,3.462,85,0,118,2020-03-27 22:00:32
2020-03-27T22:03:28Z,44.98279195278883,-93.19126470945776,592.18,284.20000000000005,3.462,85,0,119,2020-03-27 22:00:32
2020-03-27T22:03:29Z,44.982786839827895,-93.19130410440266,595.34,284.4,3.462,85,0,119,2020-03-27 22:00:32
2020-03-27T22:03:30Z,44.982782984152436,-93.19134375080466,598.5,284.79999999999995,3.452,85,0,119,2020-03-27 22:00:32
2020-03-27T22:03:31Z,44.98277912847698,-93.19138431921601,601.72,285,3.452,85,0,119,2020-03-27 22:00:32
2020-03-27T22:03:32Z,44.982774602249265,-93.19142597727478,605.05,285.20000000000005,3.452,85,0,119,2020-03-27 22:00:32
2020-03-27T22:03:33Z,44.982768232002854,-93.19146813824773,608.44,285.4,3.452,85,0,119,2020-03-27 22:00:32
2020-03-27T22:03:34Z,44.982752557843924,-93.19155002944171,615.13,286,3.443,84,0,119,2020-03-27 22:00:32
2020-03-27T22:03:35Z,44.982752557843924,-93.19155002944171,615.13,286,3.443,84,0,119,2020-03-27 22:00:32
2020-03-27T22:03:36Z,44.98274057172239,-93.19159168750048,618.68,286.20000000000005,3.443,85,0,119,2020-03-27 22:00:32
2020-03-27T22:03:39Z,44.98272003605962,-93.19171783514321,628.95,287.20000000000005,3.443,85,0,118,2020-03-27 22:00:32
2020-03-27T22:03:40Z,44.98271768912673,-93.19176083430648,632.35,287.4,3.443,85,0,118,2020-03-27 22:00:32
2020-03-27T22:03:41Z,44.982715006917715,-93.19180391728878,635.76,287.79999999999995,3.443,85,0,118,2020-03-27 22:00:32
2020-03-27T22:03:42Z,44.98271182179451,-93.19184381514788,638.93,288,3.443,86,0,118,2020-03-27 22:00:32
2020-03-27T22:03:43Z,44.982706708833575,-93.19188144989312,641.95,288.20000000000005,3.434,86,0,119,2020-03-27 22:00:32
2020-03-27T22:03:44Z,44.982702266424894,-93.19191573187709,644.69,288.4,3.434,86,0,119,2020-03-27 22:00:32
2020-03-27T22:03:45Z,44.98269505798817,-93.19194925948977,647.46,288.6,3.424,85,0,119,2020-03-27 22:00:32
2020-03-27T22:03:46Z,44.98268592171371,-93.19198714569211,650.61,289,3.424,85,0,119,2020-03-27 22:00:32
2020-03-27T22:03:47Z,44.98268022201955,-93.19202519953251,653.67,289,3.406,85,0,119,2020-03-27 22:00:32
2020-03-27T22:03:48Z,44.982672510668635,-93.19206057116389,656.57,289.20000000000005,3.406,85,0,119,2020-03-27 22:00:32
2020-03-27T22:03:49Z,44.98266337439418,-93.19209367968142,659.36,289.20000000000005,3.396,84,0,119,2020-03-27 22:00:32
2020-03-27T22:03:50Z,44.98265792615712,-93.1921240221709,661.83,289.20000000000005,3.387,84,0,119,2020-03-27 22:00:32
2020-03-27T22:03:51Z,44.98265138827264,-93.19216165691614,664.89,289.4,3.378,84,0,118,2020-03-27 22:00:32
2020-03-27T22:03:52Z,44.98264744877815,-93.19220264442265,668.15,289.6,3.368,84,0,118,2020-03-27 22:00:32
2020-03-27T22:03:53Z,44.98264434747398,-93.19224597886205,671.58,289.6,3.359,84,0,118,2020-03-27 22:00:32
2020-03-27T22:03:54Z,44.98264208436012,-93.19229492917657,675.45,289.6,3.359,84,0,118,2020-03-27 22:00:32
2020-03-27T22:03:55Z,44.98264141380787,-93.19234086200595,679.07,289.6,3.359,85,0,118,2020-03-27 22:00:32
2020-03-27T22:03:56Z,44.98264258727431,-93.19238604046404,682.64,289.6,3.359,86,0,118,2020-03-27 22:00:32
2020-03-27T22:03:57Z,44.982645101845264,-93.19243364967406,686.4,289.6,3.368,86,0,118,2020-03-27 22:00:32
2020-03-27T22:03:58Z,44.982647113502026,-93.19247698411345,689.82,289.6,3.378,86,0,118,2020-03-27 22:00:32
2020-03-27T22:03:59Z,44.982647532597184,-93.19251604378223,692.9,289.6,3.387,86,0,118,2020-03-27 22:00:32
