distance,speed,heart_rate,time_elapsed,elevation,latitude,longitude,key,smooth_elev,diff_smooth,timestamp
788.44,0.653,84,236,274.03,45.01787826418877,-93.14684757962824,6664171315,274.0406912442396,0.010691244239637854,2021-04-24T13:23:42Z
788.44,0,85,237,274.03,45.01787952147424,-93.14684498123825,6664171315,273.9786175115207,-0.05138248847924842,2021-04-24T13:23:43Z
788.93,0,86,238,274.03,45.017877761274576,-93.1468385271728,6664171315,273.91617511520735,-0.11382488479262065,2021-04-24T13:23:44Z
789.99,0.476,91,239,274.03,45.017868373543024,-93.14683500677349,6664171315,273.8540092165899,-0.1759907834101,2021-04-24T13:23:45Z
790.84,0.513,98,240,274.03,45.017866529524326,-93.14682444557548,6664171315,273.7926267281106,-0.23737327188939616,2021-04-24T13:23:46Z
791.42,0.476,104,241,273.85,45.01786476932466,-93.14681732095778,6664171315,273.73248847926266,-0.11751152073736648,2021-04-24T13:23:47Z
792.55,0.672,107,242,273.82,45.01787097193301,-93.1468052510172,6664171315,273.67396313364054,-0.14603686635945223,2021-04-24T13:23:48Z
794.4,1.064,109,243,273.63,45.017878180369735,-93.14678412862122,6664171315,273.6184792626728,-0.011520737327202824,2021-04-24T13:23:49Z
796.64,1.428,111,244,273.63,45.01788832247257,-93.1467594858259,6664171315,273.56709677419354,-0.06290322580645125,2021-04-24T13:23:50Z
799.17,2.529,112,245,273.49,45.01789603382349,-93.14672914333642,6664171315,273.51926267281107,0.029262672811057655,2021-04-24T13:23:51Z
802.58,3.2,114,246,273.4,45.017903158441186,-93.14668715000153,6664171315,273.47497695852536,0.074976958525383,2021-04-24T13:23:52Z
806.13,3.228,115,247,273.24,45.01790936104953,-93.14664289355278,6664171315,273.43350230414745,0.19350230414744374,2021-04-24T13:23:53Z
809.42,3.014,116,248,273.28,45.01791908405721,-93.14660341478884,6664171315,273.3955760368664,0.1155760368664005,2021-04-24T13:23:54Z
812.28,2.529,116,249,273.33,45.01793283037841,-93.14657273702323,6664171315,273.3615668202765,0.03156682027650959,2021-04-24T13:23:55Z
814.69,2.025,117,250,273.27,45.01794775016606,-93.1465504411608,6664171315,273.33142857142855,0.06142857142856428,2021-04-24T13:23:56Z
816.7,1.754,117,251,273.27,45.01796191558242,-93.1465345993638,6664171315,273.304331797235,0.03433179723504054,2021-04-24T13:23:57Z
818.72,1.791,116,252,273.15,45.017979349941015,-93.14652596600354,6664171315,273.2788479262673,0.12884792626732633,2021-04-24T13:23:58Z
821.39,2.305,114,253,273.15,45.01800340600312,-93.1465242896229,6664171315,273.2552995391705,0.10529953917051671,2021-04-24T13:23:59Z
824.4,2.603,113,254,273.04,45.01803047955036,-93.14652655273676,6664171315,273.23608294930875,0.1960829493087317,2021-04-24T13:24:00Z
827.35,2.837,112,255,272.94,45.018057050183415,-93.14652739092708,6664171315,273.2211520737327,0.2811520737326987,2021-04-24T13:24:01Z
830.37,2.911,113,256,272.96,45.01808387227357,-93.14652127213776,6664171315,273.2088940092166,0.248894009216599,2021-04-24T13:24:02Z
833.41,2.865,113,257,272.92,45.01811061054468,-93.14651255495846,6664171315,273.1989400921659,0.27894009216589666,2021-04-24T13:24:03Z
836.6,3.023,114,258,272.86,45.018137600272894,-93.14649880863726,6664171315,273.19290322580645,0.33290322580643306,2021-04-24T13:24:04Z
839.65,2.865,113,259,272.87,45.01815939322114,-93.14647533930838,6664171315,273.1930875576037,0.3230875576036851,2021-04-24T13:24:05Z
842.47,2.725,112,260,272.75,45.0181754026562,-93.14644759520888,6664171315,273.19972350230415,0.4497235023041526,2021-04-24T13:24:06Z
845.37,2.678,111,261,272.75,45.01818965189159,-93.14641658216716,6664171315,273.2106912442396,0.4606912442396265,2021-04-24T13:24:07Z
847.91,2.342,109,262,272.77,45.018200213089585,-93.14638783223928,6664171315,273.2253456221198,0.45534562211980756,2021-04-24T13:24:08Z
850.31,2.295,109,263,272.68,45.01820717006922,-93.14635891467331,6664171315,273.24488479262675,0.5648847926267422,2021-04-24T13:24:09Z
852.66,2.193,108,264,272.81,45.018210439011455,-93.1463294941932,6664171315,273.26654377880186,0.4565437788018585,2021-04-24T13:24:10Z
855.03,2.351,108,265,272.97,45.018209936097264,-93.1462994031608,6664171315,273.2893548387097,0.3193548387096712,2021-04-24T13:24:11Z
857.72,2.659,110,266,273.14,45.01821127720177,-93.14626512117684,6664171315,273.3100921658986,0.17009216589860898,2021-04-24T13:24:12Z
860.73,2.827,111,267,273.33,45.018216306343675,-93.14622757025064,6664171315,273.3283870967742,-0.0016129032258049847,2021-04-24T13:24:13Z
863.78,2.958,112,268,273.52,45.018224185332656,-93.14619043841958,6664171315,273.3423041474654,-0.1776958525345549,2021-04-24T13:24:14Z
