"ID","timestamp","altitude","cadence","distance","fractional_cadence","heart_rate","position_lat","position_long","speed"
"2021_04_03 08_14_44",2021-04-03 13:22:43,269.6,82,566.77,0,144,45.0158708821982,-93.1468104477972,3.611
"2021_04_03 08_14_44",2021-04-03 13:22:44,269.4,82,570.6,0,143,45.0159052480012,-93.146815309301,3.611
"2021_04_03 08_14_44",2021-04-03 13:22:45,269,82,574.49,0,143,45.0159400328994,-93.1468218471855,3.611
"2021_04_03 08_14_44",2021-04-03 13:22:46,268.8,81,578.05,0,143,45.0159719679505,-93.1468261219561,3.611
"2021_04_03 08_14_44",2021-04-03 13:22:47,268.8,82,581.69,0,143,45.016004992649,-93.1468283012509,3.611
"2021_04_03 08_14_44",2021-04-03 13:22:48,268.2,83,584.82,0,142,45.0160339102149,-93.1468212604523,3.611
"2021_04_03 08_14_44",2021-04-03 13:22:49,268.4,83,588.52,0,142,45.0160673540086,-93.1468238588423,3.611
"2021_04_03 08_14_44",2021-04-03 13:22:50,268,83,592.67,0,142,45.0161041505635,-93.1468330789357,3.62
"2021_04_03 08_14_44",2021-04-03 13:22:51,267.8,82,596.59,0,142,45.0161389354616,-93.1468422152102,3.63
"2021_04_03 08_14_44",2021-04-03 13:22:52,267.2,82,599.94,0,142,45.0161687750369,-93.1468490045518,3.639
"2021_04_03 08_14_44",2021-04-03 13:22:53,267,82,604.09,0,142,45.0162061583251,-93.146852273494,3.648
"2021_04_03 08_14_44",2021-04-03 13:22:54,266.4,82,607.57,0,141,45.016237674281,-93.1468433886766,3.648
"2021_04_03 08_14_44",2021-04-03 13:22:55,265.8,83,611.21,0,141,45.0162707827985,-93.1468371022493,3.648
"2021_04_03 08_14_44",2021-04-03 13:22:56,265.2,83,614.82,0,141,45.016303639859,-93.1468323245645,3.658
"2021_04_03 08_14_44",2021-04-03 13:22:57,265,83,618.78,0,141,45.0163395144045,-93.1468308158219,3.658
"2021_04_03 08_14_44",2021-04-03 13:22:58,265.2,83,622.96,0,142,45.0163774006069,-93.1468314863741,3.667
"2021_04_03 08_14_44",2021-04-03 13:22:59,265.2,83,627.03,0,142,45.0164143647999,-93.1468299776316,3.676
"2021_04_03 08_14_44",2021-04-03 13:23:00,264.6,82,630.81,0,141,45.0164485629648,-93.1468246132135,3.686
"2021_04_03 08_14_44",2021-04-03 13:23:01,264.6,82,634.89,0,142,45.0164855271578,-93.1468228530139,3.695
"2021_04_03 08_14_44",2021-04-03 13:23:02,264.4,82,639.12,0,141,45.0165237486362,-93.1468223500997,3.695
"2021_04_03 08_14_44",2021-04-03 13:23:03,264.4,81,643.11,0,140,45.0165598746389,-93.1468213442713,3.704
"2021_04_03 08_14_44",2021-04-03 13:23:04,264.6,82,647.48,0,141,45.0165992695838,-93.146825870499,3.714
"2021_04_03 08_14_44",2021-04-03 13:23:05,264.6,82,651.7,0,141,45.0166370719671,-93.1468306481838,3.714
"2021_04_03 08_14_44",2021-04-03 13:23:06,264,82,655.72,0,140,45.0166729465127,-93.1468380242586,3.723
"2021_04_03 08_14_44",2021-04-03 13:23:07,263.6,82,659.35,0,141,45.0167057197541,-93.146841796115,3.732
"2021_04_03 08_14_44",2021-04-03 13:23:08,262.6,82,662.52,0,140,45.016734553501,-93.1468409579247,3.732
"2021_04_03 08_14_44",2021-04-03 13:23:09,261.8,82,666.67,0,140,45.0167721882463,-93.1468401197344,3.732
"2021_04_03 08_14_44",2021-04-03 13:23:10,260.8,83,670.4,0,140,45.016805883497,-93.1468377728015,3.732
"2021_04_03 08_14_44",2021-04-03 13:23:11,260.2,84,674.39,0,140,45.0168416742235,-93.1468409579247,3.751
"2021_04_03 08_14_44",2021-04-03 13:23:12,259.8,84,678.31,0,140,45.0168768782169,-93.1468452326953,3.76
"2021_04_03 08_14_44",2021-04-03 13:23:13,259.2,83,682.11,0,140,45.0169110763818,-93.1468481663615,3.76
"2021_04_03 08_14_44",2021-04-03 13:23:14,258.8,81,686.05,0,140,45.0169461965561,-93.1468567159027,3.76
"2021_04_03 08_14_44",2021-04-03 13:23:15,258.4,81,689.63,0,139,45.0169782992452,-93.1468620803207,3.76
"2021_04_03 08_14_44",2021-04-03 13:23:16,257.8,83,693.09,0,139,45.0170096475631,-93.1468649301678,3.76
"2021_04_03 08_14_44",2021-04-03 13:23:17,257.2,83,696.87,0,138,45.0170433428138,-93.1468724738806,3.751
"2021_04_03 08_14_44",2021-04-03 13:23:18,257,83,699.83,0,137,45.017070164904,-93.1468711327761,3.742
"2021_04_03 08_14_44",2021-04-03 13:23:19,256.8,83,703.26,0,137,45.0171012617648,-93.1468728929758,3.732
"2021_04_03 08_14_44",2021-04-03 13:23:20,256.8,82,706.82,0,137,45.0171333644539,-93.146870881319,3.714
"2021_04_03 08_14_44",2021-04-03 13:23:21,257,82,710.52,0,137,45.0171667244285,-93.146865516901,3.704
"2021_04_03 08_14_44",2021-04-03 13:23:22,258.2,83,714.73,0,137,45.0172047782689,-93.1468598172069,3.704
"2021_04_03 08_14_44",2021-04-03 13:23:23,258,84,718.53,0.5,137,45.0172390602529,-93.1468543689698,3.704
"2021_04_03 08_14_44",2021-04-03 13:23:24,258.6,84,722.54,0.5,136,45.0172753538936,-93.1468488369137,3.723
"2021_04_03 08_14_44",2021-04-03 13:23:25,258.8,84,726.15,0.5,136,45.0173078756779,-93.1468425504863,3.742
"2021_04_03 08_14_44",2021-04-03 13:23:26,258.8,84,729.72,0.5,136,45.0173401460052,-93.146841796115,3.751
"2021_04_03 08_14_44",2021-04-03 13:23:27,259.4,84,733.39,0,136,45.0173733383417,-93.1468439754099,3.77
"2021_04_03 08_14_44",2021-04-03 13:23:28,259.8,84,736.99,0,136,45.017405860126,-93.1468462385237,3.788
"2021_04_03 08_14_44",2021-04-03 13:23:29,260,83,740.79,0,137,45.0174399744719,-93.1468508485705,3.788
"2021_04_03 08_14_44",2021-04-03 13:23:30,260.4,83,744.22,0,137,45.0174711551517,-93.1468504294753,3.798
"2021_04_03 08_14_44",2021-04-03 13:23:31,260.2,83,747.8,0,137,45.0175033416599,-93.1468532793224,3.798
"2021_04_03 08_14_44",2021-04-03 13:23:32,260,83,751.32,0,138,45.0175350252539,-93.146854788065,3.788
"2021_04_03 08_14_44",2021-04-03 13:23:33,259.6,83,754.78,0,137,45.0175662897527,-93.1468560453504,3.788
"2021_04_03 08_14_44",2021-04-03 13:23:34,259.4,83,758.13,0,137,45.0175968836993,-93.1468547042459,3.779
"2021_04_03 08_14_44",2021-04-03 13:23:35,259.6,83,762.47,0,137,45.0176360271871,-93.1468578893691,3.779
"2021_04_03 08_14_44",2021-04-03 13:23:36,259.6,82,766.55,0,137,45.017672739923,-93.1468615774065,3.77
"2021_04_03 08_14_44",2021-04-03 13:23:37,259.4,82,769.8,0,137,45.0177023280412,-93.1468588113785,3.788
"2021_04_03 08_14_44",2021-04-03 13:23:38,259.2,82,773.06,0,138,45.0177319999784,-93.1468538660556,3.788
"2021_04_03 08_14_44",2021-04-03 13:23:39,259.4,82,776.5,0,140,45.0177624262869,-93.1468440592289,3.779
"2021_04_03 08_14_44",2021-04-03 13:23:40,259,82,779.32,0,141,45.017786314711,-93.1468307320029,3.77
"2021_04_03 08_14_44",2021-04-03 13:23:41,259.2,82,782.55,0,141,45.0178081076592,-93.1468030717224,3.76
"2021_04_03 08_14_44",2021-04-03 13:23:42,260,82,786.2,0,139,45.017831325531,-93.1467693764716,3.742
"2021_04_03 08_14_44",2021-04-03 13:23:43,261,82,790.28,0,138,45.0178554654121,-93.1467303168029,3.732
